Frequency (Hz),Rel. amplitude (a.u.)
0.705832087,0.302548766
0.709161404,0.300552248
0.709161404,0.299950481
0.709161404,0.298677744
0.709161404,0.297989922
0.709161404,0.297271358
0.709161404,0.296540837
0.709161404,0.295835928
0.705831921,0.2965753
0.705832087,0.295962112
0.705831921,0.295405847
0.705831962,0.294884099
0.705831962,0.294029107
0.705832128,0.293716335
0.705831962,0.293479626
0.705832128,0.293294797
0.705831962,0.293166334
0.705832128,0.293095497
0.705831962,0.293072205
0.705832128,0.293085004
0.705831962,0.29312118
0.705831962,0.29321185
0.705832128,0.293252796
0.705831962,0.293262201
0.705831962,0.293233868
0.705831962,0.293151132
0.705831962,0.293005336
0.705831962,0.292803746
0.705831962,0.29253496
0.705831962,0.29176502
0.705831962,0.291286014
0.705831962,0.29073791
0.705832128,0.290135292
0.705831962,0.289490454
0.705832128,0.288803304
0.705831962,0.288110049
0.705832128,0.287416321
0.705831962,0.286727018
0.705831962,0.28544323
0.705831962,0.284837189
0.705831962,0.284299375
0.705831962,0.28383221
0.705831962,0.283427092
0.705831962,0.283089076
0.705831962,0.282767667
0.705832114,0.282512622
0.705832114,0.28233936
0.705832114,0.282097852
0.705832114,0.282043722
0.705832114,0.28201298
0.705832114,0.282005777
0.705832114,0.282020555
0.705832114,0.282047664
0.705832114,0.28208473
0.705832114,0.282123121
0.705832031,0.282175649
0.705832031,0.282175488
0.705832031,0.282142798
0.705832031,0.282061227
0.705832031,0.281941036
0.705832031,0.281767852
0.705832031,0.281535006
0.705832031,0.281226534
0.705832031,0.2808244
0.709161516,0.278418753
0.709161348,0.277768471
0.709161516,0.277062605
0.709161348,0.276300268
0.709161348,0.275497761
0.709161348,0.274683764
0.705831865,0.275161751
0.705832031,0.274391047
0.705831865,0.273671698
0.705831865,0.272438634
0.705832031,0.271934941
0.705832031,0.271532121
0.705832031,0.271217283
0.705832031,0.270972337
0.705832031,0.270807197
0.705832031,0.270700581
0.705832031,0.270637113
0.705832031,0.270615381
0.705832031,0.270644121
0.705831865,0.270673332
0.705832031,0.27070284
0.705831865,0.27072637
0.705832031,0.270730453
0.705831865,0.270726259
0.705832031,0.270703397
0.705831865,0.270653267
0.705831948,0.270598204
0.705831948,0.270371129
0.705831782,0.270190624
0.705831948,0.26995598
0.709161264,0.268402197
0.709161264,0.268074292
0.709161264,0.267707918
0.709161432,0.267284213
0.709161264,0.26679422
0.709161264,0.265677957
0.709161285,0.265061143
0.705831969,0.265682332
0.705831803,0.265058074
0.705831969,0.264433072
0.705831803,0.263817127
0.705831969,0.263251353
0.705831803,0.262756324
0.705831969,0.262324319
0.705831969,0.261656883
0.705831803,0.261402746
0.705831969,0.26122165
0.705831803,0.261108363
0.705831969,0.261048309
0.705831803,0.261022993
0.705831969,0.261023376
0.705831803,0.261042591
0.705831803,0.261070187
0.705831803,0.26111717
0.705831803,0.261117054
0.705831803,0.261098057
0.705831803,0.261055933
0.705831803,0.260981105
0.705831969,0.260863037
0.705831803,0.26069009
0.705831969,0.260472589
0.705831969,0.259921826
0.705831803,0.259581356
0.709161285,0.257952292
0.709161285,0.257511754
0.709161285,0.257043346
0.709161285,0.256537416
0.709161118,0.255989268
0.709161285,0.255427142
0.709161118,0.254842627
0.709161118,0.253697647
0.705831838,0.254343903
0.705831838,0.253835641
0.705831838,0.253343431
0.705831838,0.252898128
0.705831838,0.252504552
0.705831838,0.252179082
0.705831838,0.251916666
0.705831838,0.251703458
0.705831838,0.251443436
0.705832004,0.251386845
0.705831858,0.251372116
0.705832024,0.251385301
0.705831858,0.251415212
0.705831858,0.251457516
0.705831858,0.251494541
0.705831858,0.251513398
0.705831858,0.251478537
0.705831858,0.251416197
0.705831858,0.251308391
0.705831858,0.2511582
0.705831858,0.250949029
0.705831858,0.250676095
0.705831858,0.25037837
0.709161341,0.248848885
0.709161174,0.248446063
0.709161174,0.247534502
0.709161341,0.247040272
0.709161174,0.246537841
0.709161341,0.246024801
0.709161174,0.245504101
0.705831858,0.246147425
0.705831858,0.245653081
0.705831692,0.245178408
0.705831858,0.244741459
0.705831858,0.244024064
0.705831692,0.243732592
0.705831858,0.24349016
0.705831692,0.243287455
0.705831858,0.243126221
0.705831692,0.243004912
0.705831858,0.242921627
0.705831858,0.242872867
0.705831858,0.24285138
0.705831858,0.242869811
0.705831838,0.242900529
0.705831838,0.242938825
0.705831838,0.242979872
0.705831838,0.243018421
0.705831838,0.243054763
0.705831838,0.243075047
0.705831838,0.243067377
0.705831671,0.243028634
0.705831671,0.242812282
0.705831838,0.242624035
0.705831671,0.242363775
0.705831838,0.242056077
0.709161264,0.240540982
0.709161264,0.24009558
0.709161264,0.239582346
0.709161264,0.239004633
0.709161264,0.237768678
0.709161264,0.237140151
0.709161264,0.236500058
0.709161264,0.235887644
0.705831948,0.236423889
0.705831782,0.235895667
0.705831948,0.235446032
0.705831782,0.235038746
0.705831782,0.234702698
0.705831782,0.234224686
0.705831948,0.234073382
0.705831782,0.233979825
0.705831948,0.233921883
0.705831782,0.2339027
