Time (s),Rotation x (rad/s),Rotation y (rad/s),Rotation z (rad/s)
51.90865096,-0.004272684,-0.00638579,-0.000293523
51.92860596,-0.003360774,-0.02246242,0.001094892
51.94855996,0.000380998,-0.033914555,0.000905597
51.96851496,0.000669363,-0.048345476,-0.002110696
51.98846896,0.001518626,-0.060246356,0.002050221
52.00842396,0.006630125,-0.075842813,-0.000954346
52.02837896,0.005892844,-0.082438543,-0.001972924
52.04833296,0.010400102,-0.099830933,-0.001404672
52.06828796,0.010939453,-0.108151622,-0.002118512
52.08824196,0.011799853,-0.119644091,-0.001731438
52.10819696,0.012750545,-0.128549486,-0.001507855
52.12815096,0.014558033,-0.132931724,-0.003058792
52.14810596,0.015187431,-0.14235203,-0.001958849
52.16805996,0.014539026,-0.146681204,-0.003018887
52.18801496,0.016915575,-0.151432335,-0.003227896
52.20796896,0.015486009,-0.153489068,-0.003054371
52.22792396,0.018867448,-0.157363385,-0.003051925
52.24787796,0.018930813,-0.156551927,-0.002251823
52.26783296,0.016566725,-0.154533789,-0.003702951
52.28778796,0.018883502,-0.15494518,-0.003300926
52.30774196,0.018397048,-0.148823574,-0.002476701
52.32769696,0.017544966,-0.146471784,-0.001665713
52.34765096,0.016782077,-0.141451135,-0.003302717
52.36760596,0.016205559,-0.137270451,-0.001458291
52.38755996,0.016731402,-0.128498122,-0.001947657
52.40751496,0.013949551,-0.119066492,0.000115199
52.42746896,0.013318103,-0.109482817,-0.001297525
52.44742396,0.014106175,-0.098821044,-0.000242825
52.46737796,0.014686262,-0.088866673,-0.002400364
52.48733296,0.011888783,-0.073589265,-0.001569719
52.50728696,0.012360256,-0.064340025,-0.001205341
52.52724196,0.010629548,-0.052206028,-0.001794778
52.54719696,0.008728026,-0.037161354,0.000797493
52.56715096,0.007680419,-0.024494454,6.21418E-05
52.58710596,0.008119952,-0.008559068,-0.002075862
52.60705996,0.004274738,0.001963261,-0.001451963
52.62701496,0.005590333,0.014995399,0.000401176
52.64696896,0.002368211,0.028559174,-0.000750332
52.66692396,0.004488677,0.044628471,-0.002957527
52.68687796,-0.001546103,0.055508766,0.001213516
52.70683296,-0.001933555,0.070869647,0.002930138
52.72678696,-0.003409312,0.079549566,0.001663744
52.74674196,-0.004731547,0.092999116,-0.001888234
52.76669596,-0.008681931,0.101663843,0.000558394
52.78665096,-0.008842854,0.110826164,0.001181696
52.80660596,-0.013096672,0.123903617,0.002337962
52.82655996,-0.014578683,0.128839016,0.003487713
52.84651496,-0.01501118,0.135990947,0.001309307
52.86646896,-0.016284859,0.139057666,0.001584277
52.88642392,-0.01674358,0.144943193,-0.000788854
52.90637792,-0.016592436,0.152239785,0.000526671
52.92633292,-0.01927956,0.151757002,0.004152907
52.94628692,-0.019637085,0.155083716,0.000362379
52.96624192,-0.01718808,0.153255165,0.00179156
52.98619592,-0.020464567,0.153038383,0.003036781
53.00615092,-0.017078191,0.148197427,0.000971067
53.02610492,-0.021300837,0.145612374,0.00047269
53.04605992,-0.02068468,0.141831368,0.000839471
53.06601492,-0.019434914,0.136136159,0.001449432
53.08596892,-0.017092198,0.12825574,0.00098773
53.10592392,-0.016644459,0.118588015,0.001734844
53.12587792,-0.013619795,0.110953629,-0.000620659
53.14583292,-0.017177917,0.099803723,-0.001947355
53.16578692,-0.013152827,0.091979012,0.000365182
53.18574192,-0.011421841,0.08000914,0.002764878
53.20569592,-0.010088154,0.065031469,0.003890495
53.22565092,-0.010930952,0.054987963,0.002320902
53.24560492,-0.007048193,0.039322075,0.001473989
53.26555992,-0.005560725,0.029439431,0.000390916
53.28551392,-0.003837182,0.016746225,0.000438121
53.30546892,-0.002323485,0.002206356,-0.000843698
53.32542392,-0.001676461,-0.009827474,0.000235565
53.34537792,-0.000881173,-0.025518531,0.000811384
53.36533292,0.000298385,-0.037451815,0.00134328
53.38528692,0.004524176,-0.05098876,7.55838E-06
53.40524192,0.001890869,-0.06569159,0.000845763
53.42519592,0.005627996,-0.074436918,0.003321362
53.44515092,0.009377046,-0.08730384,-0.001363847
53.46510492,0.009217516,-0.096902184,-9.57875E-05
53.48505992,0.009712214,-0.107734464,-0.001091541
53.50501392,0.010006759,-0.118616141,-0.001077168
53.52496892,0.011368494,-0.123902157,-0.001640396
53.54492392,0.013264759,-0.1322162,-0.002768653
53.56487792,0.012720942,-0.138107911,-0.001782898
53.58483292,0.013673827,-0.142478123,-0.001955329
53.60478692,0.016401796,-0.145369157,-0.001988811
53.62474192,0.015451809,-0.148793221,-0.001255506
53.64469592,0.015654858,-0.151416555,-0.001584985
53.66465092,0.018215049,-0.149144277,-0.001235696
53.68460492,0.018404853,-0.149123877,-0.001927646
53.70455992,0.014842415,-0.148172528,-0.001790784
53.72451392,0.017284423,-0.144851655,-0.003104485
53.74446892,0.01595122,-0.140931278,-0.003576742
53.76442392,0.018078979,-0.134812459,-0.002418885
53.78437792,0.016520437,-0.130937114,-0.004740053
53.80433292,0.016430197,-0.119307816,-0.001657484
53.82428692,0.013189106,-0.111283235,-0.002901615
53.84424192,0.013588946,-0.102443546,-0.00299454
53.86419592,0.010461502,-0.089867115,-0.001016298
53.88415092,0.009800198,-0.083355233,-0.000446115
53.90410504,0.008776087,-0.069038145,-0.001448992
53.92406004,0.007541211,-0.056327421,-0.000207781
53.94401404,0.007114231,-0.044842605,0.000188669
53.96396904,0.004332485,-0.032871492,-0.00112547
53.98392304,0.004500871,-0.018786769,-0.000326595
54.00387804,0.002934147,-0.005684308,-0.001003658
54.02383304,0.001293645,0.00540061,-0.001303395
54.04378704,0.000545124,0.020585502,-0.000915601
54.06374204,-0.000229584,0.033171378,0.001450346
54.08369604,-0.002423713,0.046134055,0.001291388
54.10365104,-0.007640784,0.056219801,0.004048738
54.12360504,-0.004616498,0.067933448,0.001834461
54.14356004,-0.004833583,0.07986784,0.001479351
54.16351404,-0.006864342,0.091346741,0.001523645
54.18346904,-0.007620395,0.10204228,0.00376748
54.20342304,-0.008235399,0.10910967,0.003207357
54.22337804,-0.009851708,0.119038701,0.001113325
54.24333304,-0.009931566,0.125162408,0.002875527
54.26328704,-0.010458011,0.133490205,0.001563455
54.28324204,-0.014958339,0.137693584,-0.002871024
54.30319604,-0.014698619,0.141311586,0.000874247
54.32315104,-0.014932116,0.145034522,0.002738885
54.34310504,-0.014834879,0.145674735,0.002989383
54.36306004,-0.015877198,0.146747783,0.000120775
54.38301404,-0.017171711,0.146636203,0.001430108
54.40296904,-0.015263816,0.144106507,0.001343444
54.42292304,-0.017366331,0.143771753,0.003139679
54.44287804,-0.020790946,0.140652075,4.71973E-05
54.46283304,-0.018002214,0.135526717,0.002029458
54.48278704,-0.018720647,0.127851784,-0.001019115
54.50274204,-0.015481538,0.120453447,-0.000279489
54.52269604,-0.017270736,0.112206407,0.001014515
54.54265104,-0.017624039,0.101976521,6.77502E-05
54.56260504,-0.015447233,0.094006389,0.000661029
54.58256004,-0.013407327,0.082626641,0.000880009
54.60251404,-0.01161409,0.07135652,0.001182366
54.62246904,-0.011763325,0.061155956,0.000277449
54.64242404,-0.009820624,0.049370874,0.002438614
54.66237804,-0.007862673,0.036501106,-0.00055171
54.68233304,-0.006605376,0.022843366,0.001300479
54.70228704,-0.006351311,0.010252207,-0.000731892
54.72224204,-0.00354045,-0.003615458,-5.32754E-05
54.74219604,0.000561201,-0.017509297,-0.000395268
54.76215104,0.000666385,-0.028524749,-0.000533683
54.78210504,0.002475209,-0.043063968,-0.001100811
54.80206004,0.003820596,-0.052047685,-0.002112213
54.82201404,0.006151376,-0.066662863,-0.000410913
54.84196904,0.007989209,-0.076709874,-0.00272062
54.86192404,0.00918816,-0.088347398,0.000470476
54.88187804,0.012045186,-0.096484661,-2.26642E-05
54.90183354,0.012374824,-0.107030071,-0.001815553
54.92178754,0.01713543,-0.113928013,-0.003066658
54.94174254,0.016555702,-0.122902796,-0.001710254
54.96169654,0.015554069,-0.128092512,-0.002799779
54.98165154,0.017427322,-0.134033203,5.41562E-05
55.00160554,0.016935414,-0.140198216,-0.000870297
55.02156054,0.019266244,-0.13922511,-0.001598928
55.04151554,0.019714408,-0.143951371,-0.001880481
55.06146954,0.016238425,-0.14733392,-0.002469942
55.08142454,0.017636759,-0.146411732,-0.002183355
55.10137854,0.016368011,-0.143897459,-0.002234141
55.12133354,0.015711103,-0.139810503,-0.003716917
55.14128754,0.017162468,-0.135984123,-0.003655721
55.16124254,0.01566693,-0.133948848,-0.003503918
55.18119654,0.014434381,-0.127992988,-0.003147969
55.20115154,0.014116444,-0.120747522,-0.000478141
55.22110554,0.013929998,-0.113291264,-0.000550254
55.24106054,0.00964899,-0.103313401,-0.003300509
55.26101554,0.010015417,-0.098053716,-0.001822658
55.28096954,0.009760165,-0.086619355,-0.002055863
55.30092454,0.006778494,-0.073439322,-0.003385056
55.32087854,0.007778399,-0.06431862,-0.000221571
55.34083354,0.006410272,-0.051408242,-0.001257862
55.36078754,0.005754751,-0.038934402,-0.002884082
55.38074254,0.006182106,-0.026548034,-0.002228862
55.40069654,0.003882634,-0.012709839,0.000952122
55.42065154,0.002537621,-0.001943083,0.000120422
55.44060654,0.00400457,0.013299892,-0.001216307
55.46056054,0.002198297,0.026263755,0.000224609
55.48051554,-0.002555304,0.03573202,1.01605E-05
55.50046954,-0.001267789,0.048702501,-0.00064265
55.52042454,-0.000294515,0.057839978,0.001604069
55.54037854,-0.002519629,0.069110937,-0.000260533
55.56033354,-0.00597074,0.085306518,0.000478217
55.58028754,-0.004867528,0.093999453,0.000427076
55.60024254,-0.006967598,0.10083165,0.000977645
55.62019754,-0.008079753,0.1112414,0.000684198
55.64015154,-0.009234896,0.118650474,0.00294329
55.66010654,-0.012468914,0.122969389,-0.00077964
55.68006054,-0.014106907,0.127686247,-0.000135407
55.70001554,-0.017227154,0.13670741,0.002672845
55.71996954,-0.016944289,0.13655138,0.000683177
55.73992454,-0.017451869,0.140319228,0.002941621
55.75987854,-0.017987417,0.143893689,0.001478916
55.77983354,-0.017056964,0.142846227,0.001758241
55.79978854,-0.017239317,0.141514182,0.002388021
55.81974254,-0.018095858,0.139387891,0.002112631
55.83969754,-0.018308867,0.137984902,0.00110445
55.85965154,-0.019727513,0.134255692,0.00272095
55.87960654,-0.017176256,0.128723234,-0.000685148
55.89956004,-0.017436204,0.122794181,-0.000201376
55.91951504,-0.017183051,0.114982769,-0.000216538
55.93946904,-0.014678141,0.109278984,-0.000255486
55.95942404,-0.015274554,0.09851598,0.001293355
55.97937904,-0.013430484,0.089548975,0.000100021
55.99933304,-0.012869608,0.077193476,-3.20429E-05
56.01928804,-0.010735154,0.064725593,-0.000265474
56.03924204,-0.009694081,0.05707521,-0.001245575
56.05919704,-0.009531956,0.042185385,9.98664E-05
56.07915104,-0.003628117,0.029624669,-0.000423135
56.09910604,-0.005059536,0.017381953,0.002836686
56.11906004,-0.001605819,0.00431926,0.000588203
56.13901504,-0.001506483,-0.008069765,-0.001568991
56.15897004,0.000403854,-0.020589547,-0.000417571
56.17892404,-6.40829E-05,-0.035194337,-0.002512056
56.19887904,0.003826987,-0.044752754,0.000714701
56.21883304,0.004800101,-0.056401733,-0.001379592
56.23878804,0.005026078,-0.06845393,-0.001175155
56.25874204,0.0054156,-0.079434805,-0.002710295
56.27869704,0.007414635,-0.088080615,-0.000186548
56.29865104,0.007541032,-0.095177308,-0.000193609
56.31860604,0.009742592,-0.103832118,-0.002909612
56.33856104,0.011178261,-0.114228375,-0.000312437
56.35851504,0.013120584,-0.120925047,-0.001337111
56.37847004,0.013735414,-0.124189898,-0.000358375
56.39842404,0.013976529,-0.131394953,-0.000354151
56.41837904,0.01457273,-0.135137871,-0.000912559
56.43833304,0.017570937,-0.139036983,-0.002693562
56.45828804,0.016674807,-0.138953835,-0.002706708
56.47824304,0.017700825,-0.138690576,-0.002136041
56.49819704,0.017788354,-0.140477598,-0.002905265
56.51815204,0.016180562,-0.138313577,-0.003986091
56.53810604,0.020144975,-0.135004878,-0.001851038
56.55806104,0.016132031,-0.129172102,-0.002397619
56.57801504,0.015772892,-0.126820624,-0.003815556
56.59797004,0.01572362,-0.121289544,-0.001294167
56.61792404,0.016237324,-0.115064688,-0.00244751
56.63787904,0.012757441,-0.105428554,-0.002477803
56.65783404,0.016174702,-0.09956912,-0.002910144
56.67778804,0.014307914,-0.087911099,-0.00096132
56.69774304,0.010166096,-0.082010351,-0.003349657
56.71769704,0.009879516,-0.06705942,-0.002952068
56.73765204,0.009547636,-0.05911522,-0.003766719
56.75760604,0.007677013,-0.045137368,-0.000465065
56.77756104,0.008335402,-0.033169605,0.002130686
56.79751504,0.002966675,-0.022269646,-0.002006051
56.81747004,0.002674185,-0.007013524,0.001756066
56.83742504,0.004077987,0.005185622,1.90067E-05
56.85737904,0.001103069,0.016151046,-0.001145054
56.87733404,-0.001596498,0.028140703,0.000175287
56.89728808,-0.00096454,0.042119283,0.00173433
56.91724308,-0.005261502,0.048424434,0.000670793
56.93719708,-0.001336703,0.06135447,-0.0002504
56.95715208,-0.006373774,0.072450519,0.003459935
56.97710608,-0.008610997,0.081989549,0.000234248
56.99706108,-0.006848542,0.092306048,0.00167065
57.01701608,-0.009749956,0.103639252,0.000801182
57.03697008,-0.008243771,0.108914852,0.00134388
57.05692508,-0.00899638,0.114494704,0.000511642
57.07687908,-0.011300164,0.122685395,0.002019572
57.09683408,-0.010697193,0.127132073,0.002963035
57.11678808,-0.011798993,0.132711112,-0.001679552
57.13674308,-0.01289795,0.135829791,0.001496491
57.15669808,-0.016373882,0.13735877,0.001041702
57.17665208,-0.014915666,0.139417008,-0.001441653
57.19660708,-0.015783584,0.137453929,0.000297749
57.21656108,-0.013293007,0.136696815,0.002488289
57.23651608,-0.016027028,0.134367332,0.00213223
57.25647008,-0.016147617,0.132400334,-0.001626237
57.27642508,-0.017512184,0.125198916,0.001856342
57.29638008,-0.015543936,0.121068537,0.000260687
57.31633408,-0.015053779,0.116739452,0.000970411
57.33628908,-0.013618521,0.108710393,0.000336531
57.35624308,-0.013364423,0.100616239,-0.000678431
57.37619808,-0.013165004,0.08802481,0.000687858
57.39615208,-0.013048399,0.079513006,0.001392331
57.41610708,-0.010729201,0.071535379,0.000548588
57.43606108,-0.009322668,0.060668755,0.001621964
57.45601608,-0.010230527,0.049982265,0.00049516
57.47597108,-0.005695968,0.035307668,0.000474676
57.49592508,-0.00568046,0.02605647,-0.000364104
57.51588008,-0.00333465,0.015149618,0.000287225
57.53583408,-0.00372228,-0.001307852,-0.000638253
57.55578908,-0.002338707,-0.010013368,-0.001102566
57.57574308,0.000421888,-0.023264756,0.000268558
57.59569808,0.001746278,-0.034773875,-0.002709211
57.61565308,0.003838309,-0.044854864,-0.000987308
57.63560708,0.004651273,-0.056496996,-0.001505404
57.65556208,0.00677598,-0.068776272,-0.003152498
57.67551608,0.009029034,-0.078528211,0.000727746
57.69547108,0.007964835,-0.085733131,-0.000109338
57.71542508,0.00769129,-0.096726693,-0.002909074
57.73538008,0.009746376,-0.10563343,-0.001601789
57.75533508,0.011904528,-0.112932153,-0.001682076
57.77528908,0.014741985,-0.117405131,-0.000981491
57.79524408,0.014583668,-0.122307017,-0.003126977
57.81519808,0.013031151,-0.127546191,-0.002450932
57.83515308,0.014423948,-0.131660014,-0.003838766
57.85510708,0.015313392,-0.133922368,0.000273538
57.87506208,0.014480665,-0.134726033,-0.002395106
57.89501642,0.013262307,-0.135762513,-0.001346927
57.91497142,0.018162213,-0.134257361,-0.002239504
57.93492642,0.015844291,-0.133479387,-0.000708202
57.95488042,0.015607251,-0.131643951,-0.000921065
57.97483542,0.017598767,-0.125797465,-0.00267819
57.99478942,0.014309308,-0.121564038,-0.000296202
58.01474442,0.013466373,-0.113348,-0.001745763
58.03469842,0.013291998,-0.108600289,-0.001791366
58.05465342,0.014619453,-0.101226635,-0.000987476
58.07460842,0.013651427,-0.090339914,-0.004020841
58.09456242,0.009722997,-0.083489202,-0.001255411
58.11451742,0.009238591,-0.072214916,0.000385108
58.13447142,0.009257159,-0.064485952,-0.00043766
58.15442642,0.008388754,-0.053180031,0.000573951
58.17438042,0.007325409,-0.040496942,-0.001602895
58.19433542,0.007353643,-0.028457014,-0.000624767
58.21428942,0.003114368,-0.01572156,-0.000224198
58.23424442,0.006288071,-0.00536482,-0.001499142
58.25419942,-0.000712749,0.005056252,-0.001594696
58.27415342,-0.001016467,0.01872319,0.002546488
58.29410842,0.001434688,0.030760661,0.000232035
58.31406242,-0.002422895,0.040380575,0.001522753
58.33401742,-0.000759168,0.055004265,0.002691661
58.35397142,-0.003959068,0.061503347,0.00099459
